architecture_type,deployment_type,communication_type,num_services,num_databases,requests_per_second,avg_payload_kb,read_write_ratio,peak_traffic_multiplier,cpu_utilization_percent,memory_utilization_percent,network_latency_ms,packet_loss_percent,avg_latency_ms,p95_latency_ms,error_rate_percent,db_connection_pool_exhausted,retry_storm_detected,circuit_breaker_open,system_state,root_cause
Option B,Option A,Option C,7,UNKNOWN,1756.85,28,0.7,2,33,82,65.86,2.21,1146.14,1233.05,38.66,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option A,Option B,15,UNKNOWN,3173.71,55,0.58,1,84,97,252.58,2.26,946.44,1537.41,17.82,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option C,Option A,31,UNKNOWN,1555.82,2,0.43,3,53,94,66.0,0.27,154.1,2814.87,15.05,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option B,Option B,Option C,33,UNKNOWN,3151.54,30,0.45,4,90,53,233.43,1.11,1535.05,2553.53,38.26,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option A,Option C,Option C,1,UNKNOWN,66.19,107,0.54,4,87,72,166.46,1.3,784.2,2724.49,15.21,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option C,Option A,17,UNKNOWN,1673.94,39,0.5,3,68,47,133.06,2.03,862.93,2244.41,21.03,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option B,Option A,24,UNKNOWN,2141.72,22,0.49,1,80,4,319.48,0.62,749.43,2187.38,42.84,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option B,Option B,34,UNKNOWN,2421.33,19,0.73,1,49,9,96.69,0.45,172.92,534.67,42.57,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option B,Option B,32,UNKNOWN,3144.12,114,0.76,2,51,78,74.07,0.79,1046.81,2303.59,28.52,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option C,Option A,32,UNKNOWN,1337.57,22,0.59,3,11,34,309.88,2.87,110.2,1128.32,4.84,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option A,Option B,4,UNKNOWN,2332.4,93,0.43,3,34,22,324.22,1.67,1115.64,409.46,11.74,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option B,Option C,24,UNKNOWN,181.56,138,0.92,2,87,94,51.63,1.54,910.28,1697.6,15.44,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option B,Option A,46,UNKNOWN,96.5,44,0.5,2,12,49,385.34,2.85,545.96,1377.47,48.96,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option B,Option C,19,UNKNOWN,1554.04,106,0.5,2,3,94,95.18,1.2,781.83,1623.33,34.88,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option A,Option A,59,UNKNOWN,2150.43,45,0.79,2,28,16,123.3,2.66,845.24,1356.43,10.82,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option A,Option B,Option B,5,UNKNOWN,2295.99,49,0.83,1,92,13,15.57,2.66,856.81,1274.55,10.86,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option B,Option B,10,UNKNOWN,588.98,107,0.89,4,86,39,327.34,2.16,869.45,2877.1,33.36,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option A,Option B,Option B,14,UNKNOWN,308.58,73,0.42,4,86,69,94.59,2.64,75.71,2013.02,15.83,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option C,Option A,41,UNKNOWN,729.11,131,0.8,1,62,57,184.92,2.06,1143.84,1949.98,39.93,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option A,Option B,58,UNKNOWN,3036.13,92,0.73,3,35,46,296.15,2.0,638.17,431.04,48.31,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option B,Option A,39,UNKNOWN,2641.65,74,0.72,4,35,96,366.04,1.93,529.29,1785.86,48.48,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option C,Option A,Option A,17,UNKNOWN,3184.11,65,0.63,3,4,4,306.91,0.47,396.11,1868.44,46.64,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option C,Option B,27,UNKNOWN,2592.7,91,0.93,4,23,68,340.73,0.89,680.93,557.79,39.76,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option C,Option A,33,UNKNOWN,399.77,6,0.63,4,48,88,311.69,1.56,530.42,1678.78,4.07,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option C,Option C,54,UNKNOWN,925.51,22,0.89,4,28,31,342.11,0.25,1019.71,1531.72,9.0,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option B,Option A,41,UNKNOWN,2574.3,144,0.79,4,40,93,170.96,0.27,224.24,734.66,42.69,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option A,Option C,51,UNKNOWN,2191.77,55,0.84,2,47,37,125.67,0.79,517.28,1551.17,43.39,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option B,Option C,35,UNKNOWN,1332.59,52,0.66,3,60,9,372.64,0.06,1237.64,1384.36,39.78,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option B,Option B,Option A,26,UNKNOWN,124.82,107,0.6,2,79,65,230.02,1.95,943.89,491.8,1.59,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option A,Option B,2,UNKNOWN,195.98,111,0.67,2,17,25,9.79,0.8,1448.05,891.31,45.41,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option A,Option B,Option A,6,UNKNOWN,1486.22,106,0.42,2,25,78,279.17,2.36,774.23,2341.09,16.79,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option B,Option C,Option B,49,UNKNOWN,763.13,14,0.46,4,41,45,263.56,0.85,958.68,2979.37,1.75,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option C,Option A,Option B,30,UNKNOWN,363.64,133,0.93,1,60,63,307.11,1.69,945.71,83.92,0.83,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option A,Option A,Option C,53,UNKNOWN,2402.92,140,0.53,1,6,25,198.28,1.89,61.7,824.07,12.95,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option B,Option B,14,UNKNOWN,569.32,59,0.85,2,13,5,231.23,0.25,263.0,498.11,4.89,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option C,Option B,7,UNKNOWN,8.67,100,0.59,4,29,52,268.36,2.9,802.84,2648.34,31.78,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option B,Option C,25,UNKNOWN,2722.73,103,0.92,3,37,6,365.52,1.89,1369.62,1564.53,42.85,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option A,Option A,24,UNKNOWN,243.79,128,0.81,4,20,50,304.41,0.41,336.17,2965.82,19.91,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option C,Option B,Option A,4,UNKNOWN,1399.22,118,0.89,1,90,63,131.0,2.26,647.42,254.83,17.81,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option A,Option C,1,UNKNOWN,997.4,37,0.84,1,62,30,312.23,2.29,455.37,727.34,29.77,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option B,Option B,16,UNKNOWN,1899.98,45,0.62,1,79,99,150.01,2.7,435.74,673.23,27.98,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option B,Option B,17,UNKNOWN,1247.88,70,0.91,3,6,22,195.42,0.4,1536.41,1523.88,23.75,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option A,Option C,Option A,46,UNKNOWN,907.2,43,0.51,2,84,94,163.16,1.42,357.21,2824.09,20.56,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option C,Option A,Option C,44,UNKNOWN,916.55,126,0.48,4,32,85,147.66,1.18,664.8,1889.11,26.49,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option C,Option A,Option A,22,UNKNOWN,905.99,15,0.92,2,3,9,396.98,0.58,1519.09,1197.21,20.22,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option C,Option C,27,UNKNOWN,154.04,102,0.63,2,42,88,156.44,0.64,659.12,671.26,35.6,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option C,Option C,22,UNKNOWN,1704.03,97,0.63,2,11,63,348.18,1.34,119.65,1574.72,46.63,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option C,Option B,38,UNKNOWN,1169.46,85,0.41,1,89,44,197.31,2.22,1385.89,2571.85,1.92,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option C,Option B,Option C,29,UNKNOWN,2581.87,77,0.87,1,67,11,373.78,2.09,1057.99,313.16,41.65,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option C,Option B,Option B,14,UNKNOWN,1532.11,78,0.82,2,3,38,114.82,1.78,1255.23,1551.09,17.52,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option C,Option B,48,UNKNOWN,972.48,59,0.68,3,37,27,126.92,0.43,627.29,1695.5,44.42,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option A,Option B,Option A,22,UNKNOWN,532.08,56,0.93,3,57,48,114.69,0.81,814.91,440.08,24.9,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option A,Option C,Option A,39,UNKNOWN,2349.07,142,0.53,3,58,87,245.44,0.41,179.27,141.28,10.28,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option B,Option B,34,UNKNOWN,850.44,99,0.91,1,14,68,346.32,0.34,164.86,835.28,17.65,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option B,Option A,52,UNKNOWN,2757.62,18,0.45,2,78,62,115.6,2.67,408.62,1716.43,11.54,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option C,Option C,Option C,21,UNKNOWN,1252.21,67,0.79,3,5,89,73.47,1.42,443.62,1708.02,48.46,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option B,Option C,32,UNKNOWN,1111.61,128,0.55,2,47,76,64.2,0.13,1497.12,1194.3,28.23,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option C,Option C,Option A,27,UNKNOWN,2660.75,133,0.9,1,4,67,201.78,1.49,1095.51,1855.73,27.03,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option B,Option A,43,UNKNOWN,2287.04,133,0.72,3,27,84,282.27,0.82,42.37,1356.77,41.71,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option A,Option B,Option C,1,UNKNOWN,1943.3,65,0.91,4,60,56,257.59,0.94,1019.85,2650.86,31.98,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option A,Option C,Option B,18,UNKNOWN,2661.65,147,0.41,2,29,23,370.61,2.11,1086.54,1499.43,34.06,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option A,Option A,48,UNKNOWN,1624.95,132,0.64,4,24,39,394.65,2.69,686.79,935.54,37.79,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option C,Option B,Option A,59,UNKNOWN,2978.42,17,0.77,4,62,89,56.61,1.1,755.85,1239.65,41.71,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option B,Option C,15,UNKNOWN,23.63,118,0.91,3,86,79,6.27,2.29,158.07,1871.69,4.98,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option C,Option C,4,UNKNOWN,581.15,63,0.44,4,11,22,33.5,2.08,496.74,1596.62,10.63,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option A,Option C,Option A,34,UNKNOWN,1586.27,13,0.49,1,88,61,43.29,2.37,511.97,2666.35,37.98,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option A,Option C,Option A,29,UNKNOWN,2887.81,34,0.93,4,13,62,252.21,0.28,1416.88,665.57,45.13,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option C,Option B,Option B,9,UNKNOWN,2029.79,119,0.51,1,78,20,207.89,2.77,1012.17,1025.91,8.0,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option A,Option C,25,UNKNOWN,555.4,62,0.68,1,36,50,349.23,2.4,1158.09,2561.56,11.54,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option B,Option C,11,UNKNOWN,2261.07,117,0.47,3,9,15,244.98,0.49,265.58,2838.68,38.54,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option B,Option A,Option A,15,UNKNOWN,3140.77,86,0.76,3,32,89,170.02,0.14,1415.44,3116.45,46.39,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option C,Option B,Option C,21,UNKNOWN,1195.57,53,0.86,1,95,15,245.8,2.57,206.66,2312.41,44.37,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option A,Option B,Option C,54,UNKNOWN,2661.01,77,0.5,4,7,74,47.33,1.05,534.34,627.26,41.85,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option A,Option C,43,UNKNOWN,1368.55,33,0.57,2,31,14,75.41,2.64,296.46,2877.22,33.92,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option C,Option B,50,UNKNOWN,2102.02,54,0.7,4,41,31,168.38,2.11,979.58,2153.22,20.78,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option B,Option B,Option A,34,UNKNOWN,2386.07,146,0.52,3,54,25,376.32,0.33,910.29,2449.35,14.1,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option A,Option A,51,UNKNOWN,1323.0,35,0.5,2,30,36,252.82,2.87,776.25,228.89,26.95,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option A,Option C,Option C,46,UNKNOWN,336.97,40,0.81,4,53,50,396.32,2.0,1498.55,1105.68,15.97,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option C,Option C,Option A,18,UNKNOWN,3144.28,93,0.54,1,86,27,388.13,2.63,273.84,2119.74,40.54,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option A,Option C,Option A,44,UNKNOWN,2788.1,76,0.85,1,99,87,205.75,1.22,199.55,2002.22,0.73,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option A,Option B,21,UNKNOWN,457.34,86,0.46,1,11,11,204.63,0.68,380.81,566.49,4.16,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option C,Option A,Option B,38,UNKNOWN,2893.24,143,0.72,4,39,95,323.6,1.2,1140.98,1302.88,37.19,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option C
Option A,Option A,Option B,36,UNKNOWN,551.13,60,0.68,3,58,77,19.81,2.76,282.37,1882.47,35.56,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option C,Option A,Option C,7,UNKNOWN,255.55,29,0.6,3,74,42,48.07,1.17,234.02,2418.58,7.48,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option A,Option C,35,UNKNOWN,2667.39,17,0.83,1,80,28,162.09,0.2,1379.02,1925.08,24.49,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option B,Option B,16,UNKNOWN,1428.52,84,0.47,3,72,78,237.02,0.01,1506.32,2340.93,30.36,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option A,Option C,25,UNKNOWN,2479.96,47,0.49,4,46,88,227.6,0.25,845.89,318.61,31.25,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option C,Option B,58,UNKNOWN,285.68,25,0.93,1,73,31,305.64,2.77,1136.87,1740.02,3.62,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option B,Option C,Option B,6,UNKNOWN,2184.17,67,0.6,1,2,51,308.35,0.44,1063.04,410.32,25.14,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option B,Option C,Option C,16,UNKNOWN,1679.96,96,0.48,2,27,54,95.34,2.28,465.71,2518.86,24.57,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option A,Option C,Option C,42,UNKNOWN,2800.93,141,0.89,1,55,52,28.9,1.55,1257.12,563.39,40.94,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option B
Option B,Option A,Option C,49,UNKNOWN,1899.42,35,0.76,4,32,13,114.09,1.54,222.93,2986.34,38.69,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option B,Option B,Option B,37,UNKNOWN,1848.25,74,0.63,4,20,61,233.94,2.59,281.76,1919.6,21.65,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option A
Option A,Option A,Option B,6,UNKNOWN,1452.71,25,0.72,4,87,21,25.02,0.9,665.48,1346.76,6.27,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option B,Option A,Option B,50,UNKNOWN,2633.88,148,0.94,3,49,63,245.1,0.39,1538.16,2303.95,41.48,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option A,Option B,Option C,8,UNKNOWN,2480.93,92,0.74,3,74,7,352.21,1.68,1285.58,2853.53,44.6,UNKNOWN,UNKNOWN,UNKNOWN,Option C,Option C
Option A,Option B,Option A,6,UNKNOWN,857.27,102,0.66,4,8,17,153.55,1.14,184.64,1854.87,47.28,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option B
Option C,Option B,Option A,18,UNKNOWN,1656.6,41,0.58,3,94,18,200.41,1.07,1017.91,422.48,31.1,UNKNOWN,UNKNOWN,UNKNOWN,Option A,Option A
Option B,Option A,Option B,43,UNKNOWN,1657.15,139,0.43,1,14,31,191.22,1.29,528.11,1531.24,35.38,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option C
Option A,Option C,Option C,40,UNKNOWN,2397.73,23,0.54,1,11,35,118.5,0.25,1532.37,81.77,45.22,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option A
Option C,Option B,Option B,49,UNKNOWN,2066.83,55,0.9,4,71,47,172.2,2.58,881.23,1805.28,3.53,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
Option A,Option C,Option A,53,UNKNOWN,2808.21,64,0.71,2,26,29,348.25,1.35,657.36,884.18,31.5,UNKNOWN,UNKNOWN,UNKNOWN,Option B,Option B
